id,title,object_id,object_name,other_number,place,date,description,photographer,people,search_terms,credit_line,url
55991,State Theatre of Leninakan,K1999.001.956,"Print, Photographic",TOROSIAN_J_956-99,Soviet Armenia/USSR/Republic of Armenia,,"State Theatre of Leninakan. Production of ""Ara Geghetsik."" ASSR (Armenian Soviet Socialist Republic) Meritorious Artist Amerikian in the role of Armenian General Vastak. Soviet Armenia. c. 1930s.",,,"work
theatre
1930s
portraits
men
costumes",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55991
39667,Inside Hazarian's Furs and Skins,L1977.001.008,"Print, Photographic","HAZARIAN, Haroutune 8-77","New York City
New York
USA",1918,"The information below was provided by the photo donor and is in relation to the photo donor:
Inside Hazarian's Furs and Skins, 140 W. 27 Street, New York, New York, circa 1918.
Left to right: Haroutune HAZARIAN, Mike SIVASLIAN, Abe GITLER, and Sam GITLER. Haroutune changed the name of the business from H.K. Djirdjirian & Co., (his brother-in-law's name).",Unknown,"Hazarian, Haroutune
Gitler, Abe
Gitler, Sam
Sivaslian, Mike","1910s
store
men
building",Courtesy of Haroutune P. Hazarian,https://projectsave.catalogaccess.com/photos/39667
44208,Gathering in honor of Generals Nejdeh and Sebouh,K2003.002.035,"Print, Photographic",DER PARSEGHIAN_V_35-03,"Providence
Rhode Island
USA",,"Gathering in honor of Generals Nejdeh and Sebouh, Providence, Rhode Island, 1933-1934.
Second from left -  Sparapet (colonel) Garegin Nzhdeh (Ter-Harutiunian) - Commander-in-Chief of Armed Forces of the Republic of Armenia in 1921, third from left - General Arshak Nersisian (Sepuh), MP of Armenia
Photo by Perham Studio, Boston, Massachusetts.",Perham Studios,"Nzhdeh, Garegin (Garegin Ter-Harutyunyan)
Nersesian, Sebouh","1930s
flag
gathering",Courtesy of Vahram Der Parseghian,https://projectsave.catalogaccess.com/photos/44208
48251,Los Angeles Chapter of the HOG,K1999.001.250,"Print, Photographic",TOROSIAN_J_250-99,"Los Angeles
California
USA",1930,"Los Angeles Chapter of the HOG (Committee for Aid to Armenia). August 23, 1930",,,"1930s
hats
women
men
politics
political parties
HOG Political Party",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48251
55993,Babken Nersesian,K1999.001.958,"Print, Photographic",TOROSIAN_J_958-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",1961,"Babken Nersesian in the role of Sayat Nova, from Satik. Jan 13, 1961. Yerevan, Soviet Armenia. c. 1930s.",,,"work
theatre
1930s
portraits
costumes
men",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55993
39668,Fracture Ward,L2010.077.128,"Print, Photographic","MATOSSIAN, Garo 128-10","Lebanon
French Mandate
Ottoman Empire",1948,"Garo Matossian, the photo donor, as a student intern in the fracture ward at Dr. Bey's American Mission (Presbyterian) Hospital in Tripoli, Lebanon.
1948",Unknown,"Matossian, Garo","1940s
doctors
health
medical
work
men",Courtesy of Garo Matossian,https://projectsave.catalogaccess.com/photos/39668
44209,Gathering in honor of Generals Nejdeh and Sebouh,K2003.002.036,"Print, Photographic",DER PARSEGHIAN_V_36-03,"Providence
Rhode Island
USA",,"Gathering in honor of Generals Nejdeh and Sebouh, Providence, Rhode Island, 1933-1934.
3rd from right - Sparapet (colonel) Garegin Nzhdeh (Ter-Harutiunian) - Commander-in-Chief of Armed Forces of the Republic of Armenia in 1921, 4th from right -  General Arshak Nersisian (Sepuh), MP of Armenia
Photo by Perham Studio, Boston, Massachusetts.",Perham Studios,"Nzhdeh, Garegin (Garegin Ter-Harutyunyan)
Nersesian, Sebouh",,Courtesy of Vahram Der Parseghian,https://projectsave.catalogaccess.com/photos/44209
48252,"Chealsea, MA branch of the HOG",K1999.001.251,"Print, Photographic",TOROSIAN_J_251-99,"Chelsea
Massachusetts
USA",,"Members of the Chealsea, MA branch of the HOG  (Committee for Aid to Armenia). c. 1930s.",,,"1930s
political parties
politics
children
men
women
HOG Political Party",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48252
48246,St. Louis and Granite City HOG - K1999.001.245,,,,,,,,,,,https://projectsave.catalogaccess.com/photos/48246
55994,"Actor ""Bebo""",K1999.001.959,"Print, Photographic",TOROSIAN_J_959-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",1935,"""Bebo"" at the Gabriel Sundukian Theatre. ""Meritorious Artist"" Avet Avetisian in the role of ""Bebo.""
14 January 1935. Yerevan, Soviet Armenia",,,"work
theatre
1930s
portraits
costumes
men",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55994
39669,Workers for the K. Arakelian Fruit Company,K1997.025.002,"Print, Photographic","KARABIAN, Walter 2-97","Fresno
California
USA",,"Workers for the K. Arakelian Fruit Company.
Fresno, California, circa 1900.
Photo by M.D. Sloat","Sloat, M.D.",,"1900s
work
farm
horse
transportation",,https://projectsave.catalogaccess.com/photos/39669
44210,Gathering in honor of Generals Nejdeh and Sebouh,K2003.002.038,"Print, Photographic",DER PARSEGHIAN_V_38-03,"Providence
Rhode Island
USA",1933,"Gathering in honor of Generals Nejdeh and Sebouh, Providence, Rhode Island, 1933-1934.
Central two figures are - left -  Sparapet (colonel) Garegin Nzhdeh (Ter-Harutiunian) - Commander-in-Chief of Armed Forces of the Republic of Armenia in 1921, right -  General Arshak Nersisian (Sepuh), MP of Armenia
Margaret Najarian is holding the Armenian flag.
Photo by Perham Studio, Boston, Massachusetts.",Perham Studios,"Nzhdeh, Garegin (Garegin Ter-Harutyunyan)
Nersesian, Sebouh","1930s
flag",Courtesy of Vahram Der Parseghian,https://projectsave.catalogaccess.com/photos/44210
48256,Lynn Cchapter of the HOG,K1999.001.255,"Print, Photographic",TOROSIAN_J_255-99,"Lynn
Massachusetts
USA",,Lynn Chapter of the HOG (Committee for Aid to Armenia) political party. Massachusetts. c. early 1930s,,,"1930s
political parties
politics
men
women
unknowns
HOG Political Party",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48256
55995,Opera theater graduates,K1999.001.960,"Print, Photographic",TOROSIAN_J_960-99,Soviet Armenia/USSR/Republic of Armenia,,"Opera theater graduates. L-r: S. Sargsian, S. Minasian, T. Grigorian. Soviet Armenia. Undated, c. 1940s.",,,"work
theatre
men
1940s
women",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55995
39670,Factory in Philadelphia or New Jersey,K1998.021.009,"Print, Photographic","MERANSHIAN, Evelyn 9-98",,1922,"Factory in Philadelphia or New Jersey, circa 1922. Varashag HAJINIAN stands at center. It is not known whether he is an owner or worker in this factory.",Unknown,"Hajinian, Varashag","1920s
work
men
women
business
factory",Courtesy of Evelyn Hajinian Meranshian,https://projectsave.catalogaccess.com/photos/39670
44211,Gathering in honor of Generals Nejdeh and Sebouh,K2003.002.039,"Print, Photographic",DER PARSEGHIAN_V_39-03,"Providence
Rhode Island
USA",1933,"Gathering in honor of Generals Nejdeh and Sebouh, Providence, Rhode Island, 1933-1934. Photo by Perham Studio, Boston, Massachusetts.
Courtesy of Vahram Der Parseghian",Perham Studios,,"1930s
flag
gathering",Courtesy of Vahram Der Parseghian,https://projectsave.catalogaccess.com/photos/44211
48257,Watertown Chapter of the HOG,K1999.001.256,"Print, Photographic",TOROSIAN_J_256-99,"Watertown
Massachusetts
USA",1931,"Watertown Chapter of the HOG (Committee for Aid to Armenia). Massachusetts. April 11th, 1931",,,"HOG Political Party
1930s
political parties
politics",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48257
55996,Charles Aznavour with movie camera,K1999.001.961,"Print, Photographic",TOROSIAN_J_961-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",,"Charles Aznavour with movie camera. Yerevan, Soviet Armenia. Undated, c. 1950-60s.
""Memories are needed from the Homeland. This time [Charles] Aznavour's movie camera is directed to the entrance to the Hotel 'Armenia.'""",,,"1950s
1960s
Artists
men",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/55996
39672,Krekorian brothers,K1984.010.061,"Print, Photographic","Haroian, Arsen 61-84","Iowa
USA
Iowa/USA",,"In front of their train car, four Krekorian brothers: seated: Gabriel ""Gabe"": l-r Joe (Hovsep?), Krekor, and Jean; with Garabed BAGHDIGIAN, their merry-go-round/ferris-wheel concessionaire; man at the very right unown; photo by Zimmerman's studio, Keokuk, Iowa.",Zimmerman's Studio,"DeKreko, Jean
DeKreko, Gabriel
Krekorian, Krikor
DeKreko, Hovsep","1900s
circus
work
business","Project SAVE Photograph Archive, Courtesy of Arsen Haroian and Garabed Baghdigian",https://projectsave.catalogaccess.com/photos/39672
44212,The Balancing Act at Marmnamarzagan Agoump,L1990.026.008,"Print, Photographic",NAJARIAN_Steve_8-90,"Alexandria
Iskenderiyye
Egypt",1913,"September 1913, Alexandria, Egypt, athletes of the Marmnamarzagan Agoomp (transliteration of Armenian words on back fence meaning Gymnastic Club). Posed for the picture with suited gentlemen-judges or teachers looking on, are uniformed gymnasts. Four young men with strong backs, shoulders, and arms balance on the parallel bars: at the ends of the bar, two do handstands while one in the middle does a backbend with another standing on his arched abdomen waving flags to create a human tower. Two athletes stand on the ground with team mates balanced on their shoulders. Four others look on, perhaps waiting for their turn to participate.",,"Najarian, Joseph","1910s
athletes
recreation
men",Courtesy of Steve Najarian,https://projectsave.catalogaccess.com/photos/44212
48258,HOG members in Wisconsin,K1999.001.257,"Print, Photographic",TOROSIAN_J_257-99,"Racine
Wisconsin
USA",,"Group photo, probably members of the HOG (Committee for Aid to Armenia) Racine, Wisconsin c. early 1930s
People (L-R):
1st row sitting
1. Harry Solakian
2. Sarkis Solakian
3. Akabi Gulbanekian
4. Lawyer G.K. Gulbankian
5. Marie Ketibian
6. Arsen Ketibian
7. Dikran Akgulian
2nd row
8. Nigoghos Janmigian
9. Harutun Balian
10. Avak Kafa Akgulian
11. Aghavni Sahakian
12. Alexan Sahakian
13. Garabed Khacherian
14. Mihran Kalayjian
3rd row standing
15. Zetron Dunajian
16. Nishan Kahanian
17. Harutun Pehlivanian
18. Peniamen Meldonian",,,"1930s
political parties
politics
men
women
HOG Political Party",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48258
